rank,abbrv,country,eci_value,delta,year
1,CHE,Switzerland,2.306595,0,1964
2,SWE,Sweden,2.2507,0,1964
3,AUT,Austria,2.209263,0,1964
4,GBR,United Kingdom,2.16646,0,1964
5,JPN,Japan,2.115119,0,1964
6,FRA,France,2.019153,0,1964
7,USA,United States,2.013119,0,1964
8,ITA,Italy,1.940263,0,1964
9,BEL,Belgium,1.881067,0,1964
10,NOR,Norway,1.730345,0,1964
11,DNK,Denmark,1.690729,0,1964
12,FIN,Finland,1.662725,0,1964
13,NLD,Netherlands,1.591462,0,1964
14,HKG,Hong Kong,1.501302,0,1964
15,POL,Poland,1.418541,0,1964
16,IRL,Ireland,1.381544,0,1964
17,HUN,Hungary,1.350238,0,1964
18,PRT,Portugal,1.314151,0,1964
19,KOR,"Korea, Rep.",1.17857,0,1964
20,ISR,Israel,1.166047,0,1964
21,CAN,Canada,1.155347,0,1964
22,PAN,Panama,1.155119,0,1964
23,BGR,Bulgaria,1.132659,0,1964
24,ESP,Spain,0.9158875,0,1964
25,CHN,China,0.8430763,0,1964
26,SGP,Singapore,0.6580547,0,1964
27,JOR,Jordan,0.6514634,0,1964
28,ROU,Romania,0.6044255,0,1964
29,SLV,El Salvador,0.5728239,0,1964
30,GRC,Greece,0.5202191,0,1964
31,NZL,New Zealand,0.5145272,0,1964
32,MRT,Mauritania,0.4737731,0,1964
33,AUS,Australia,0.4618655,0,1964
34,MEX,Mexico,0.4316984,0,1964
35,URY,Uruguay,0.3885422,0,1964
36,CRI,Costa Rica,0.2517425,0,1964
37,MAR,Morocco,0.2207898,0,1964
38,CHL,Chile,0.2195718,0,1964
39,IND,India,0.1251314,0,1964
40,LBN,Lebanon,0.1109904,0,1964
41,ARG,Argentina,0.1019949,0,1964
42,GTM,Guatemala,0.0972364,0,1964
43,COL,Colombia,0.0545185,0,1964
44,DZA,Algeria,-0.0187581,0,1964
45,ZAF,South Africa,-0.0302991,0,1964
46,CUB,Cuba,-0.0425162,0,1964
47,PAK,Pakistan,-0.0737421,0,1964
48,EGY,Egypt,-0.0835926,0,1964
49,MNG,Mongolia,-0.0996529,0,1964
50,TUN,Tunisia,-0.1010076,0,1964
51,JAM,Jamaica,-0.1790563,0,1964
52,ALB,Albania,-0.2062524,0,1964
53,HND,Honduras,-0.2681236,0,1964
54,OMN,Oman,-0.3361762,0,1964
55,TUR,Turkey,-0.3971253,0,1964
56,NIC,Nicaragua,-0.4141669,0,1964
57,VNM,Viet Nam,-0.4519613,0,1964
58,SYR,Syrian Arab Republic,-0.4818894,0,1964
59,TTO,Trinidad and Tobago,-0.512307,0,1964
60,PER,Peru,-0.5212092,0,1964
61,VEN,Venezuela,-0.5217215,0,1964
62,PHL,Philippines,-0.5303618,0,1964
63,ZMB,Zambia,-0.541962,0,1964
64,SEN,Senegal,-0.561417,0,1964
65,BOL,Bolivia,-0.6540359,0,1964
66,IRN,Iran,-0.6848406,0,1964
67,MLI,Mali,-0.6866962,0,1964
68,ECU,Ecuador,-0.7552497,0,1964
69,THA,Thailand,-0.7631274,0,1964
70,MYS,Malaysia,-0.7635258,0,1964
71,LAO,Lao PDR,-0.7676467,0,1964
72,PRY,Paraguay,-0.7795542,0,1964
73,LBR,Liberia,-0.7979277,0,1964
74,KHM,Cambodia,-0.8023902,0,1964
75,QAT,Qatar,-0.8351415,0,1964
76,LKA,Sri Lanka,-0.8387616,0,1964
77,BRA,Brazil,-0.844647,0,1964
78,KEN,Kenya,-0.9570511,0,1964
79,MDG,Madagascar,-0.9608875,0,1964
80,ETH,Ethiopia,-0.9993193,0,1964
81,CIV,Cote d'Ivoire,-1.054212,0,1964
82,GIN,Guinea,-1.063479,0,1964
83,SAU,Saudi Arabia,-1.141458,0,1964
84,COG,Congo,-1.14567,0,1964
85,IDN,Indonesia,-1.186083,0,1964
86,DOM,Dominican Republic,-1.198264,0,1964
87,MOZ,Mozambique,-1.240611,0,1964
88,AGO,Angola,-1.256435,0,1964
89,CMR,Cameroon,-1.280113,0,1964
90,GHA,Ghana,-1.282959,0,1964
91,PNG,Papua New Guinea,-1.34022,0,1964
92,TZA,Tanzania,-1.378811,0,1964
93,KWT,Kuwait,-1.550024,0,1964
94,NGA,Nigeria,-1.569832,0,1964
95,SDN,Sudan,-1.57985,0,1964
96,UGA,Uganda,-1.682646,0,1964
97,GAB,Gabon,-1.686517,0,1964
98,MUS,Mauritius,-2.271874,0,1964
99,LBY,Libya,-2.375695,0,1964
1,CHE,Switzerland,2.23743,0,1965
2,SWE,Sweden,2.192915,0,1965
3,AUT,Austria,2.190211,0,1965
4,GBR,United Kingdom,2.184238,0,1965
5,JPN,Japan,2.150768,0,1965
6,FRA,France,2.033228,0,1965
7,USA,United States,1.985333,0,1965
8,ITA,Italy,1.961667,0,1965
9,BEL,Belgium,1.892022,0,1965
10,NOR,Norway,1.70788,0,1965
11,NLD,Netherlands,1.663704,2,1965
12,FIN,Finland,1.630797,0,1965
13,DNK,Denmark,1.588311,-2,1965
14,HKG,Hong Kong,1.47742,0,1965
15,HUN,Hungary,1.476744,2,1965
16,POL,Poland,1.403155,-1,1965
17,PAN,Panama,1.375657,5,1965
18,IRL,Ireland,1.321113,-2,1965
19,KOR,"Korea, Rep.",1.245946,0,1965
20,PRT,Portugal,1.169765,-2,1965
21,ISR,Israel,1.021302,-1,1965
22,BGR,Bulgaria,0.9963511,1,1965
23,CAN,Canada,0.9791991,-2,1965
24,ESP,Spain,0.9415705,0,1965
25,CRI,Costa Rica,0.8481582,11,1965
26,CHN,China,0.8158263,-1,1965
27,ROU,Romania,0.6636665,1,1965
28,SLV,El Salvador,0.6617057,1,1965
29,URY,Uruguay,0.5412807,6,1965
30,JOR,Jordan,0.5044635,-3,1965
31,SGP,Singapore,0.4875706,-5,1965
32,NZL,New Zealand,0.4671054,-1,1965
33,AUS,Australia,0.46617,0,1965
34,GRC,Greece,0.3754399,-4,1965
35,CHL,Chile,0.319938,3,1965
36,GTM,Guatemala,0.3163881,6,1965
37,MEX,Mexico,0.2840449,-3,1965
38,IND,India,0.249414,1,1965
39,LBN,Lebanon,0.240759,1,1965
40,VEN,Venezuela,0.1301722,21,1965
41,EGY,Egypt,0.0837366,7,1965
42,CUB,Cuba,0.06199,4,1965
43,ARG,Argentina,-0.0035103,-2,1965
44,COL,Colombia,-0.0442457,-1,1965
45,DZA,Algeria,-0.0443843,-1,1965
46,TUN,Tunisia,-0.0608884,4,1965
47,MAR,Morocco,-0.0615037,-10,1965
48,NIC,Nicaragua,-0.0670133,8,1965
49,MNG,Mongolia,-0.1224544,0,1965
50,ZWE,Zimbabwe,-0.1583925,0,1965
51,ZAF,South Africa,-0.1624721,-6,1965
52,HND,Honduras,-0.1971593,1,1965
53,ALB,Albania,-0.2027377,-1,1965
54,SEN,Senegal,-0.2107503,10,1965
55,TTO,Trinidad and Tobago,-0.2287475,4,1965
56,JAM,Jamaica,-0.2710079,-5,1965
57,MRT,Mauritania,-0.2753917,-25,1965
58,SYR,Syrian Arab Republic,-0.2791895,0,1965
59,PAK,Pakistan,-0.3366297,-12,1965
60,VNM,Viet Nam,-0.3932022,-3,1965
61,PER,Peru,-0.4369275,-1,1965
62,ECU,Ecuador,-0.4508903,6,1965
63,PHL,Philippines,-0.5011407,-1,1965
64,TUR,Turkey,-0.5841737,-9,1965
65,OMN,Oman,-0.5961081,-11,1965
66,LBR,Liberia,-0.6013259,7,1965
67,PRY,Paraguay,-0.6980625,5,1965
68,BRA,Brazil,-0.7019167,9,1965
69,IRN,Iran,-0.7079458,-3,1965
70,GIN,Guinea,-0.7210747,12,1965
71,GHA,Ghana,-0.7242301,19,1965
72,CIV,Cote d'Ivoire,-0.7267545,9,1965
73,MYS,Malaysia,-0.7510401,-3,1965
74,BOL,Bolivia,-0.7666482,-9,1965
75,MWI,Malawi,-0.8568148,0,1965
76,THA,Thailand,-0.8847855,-7,1965
77,DOM,Dominican Republic,-0.9225606,9,1965
78,COG,Congo,-0.9393521,6,1965
79,SAU,Saudi Arabia,-0.9686413,4,1965
80,KHM,Cambodia,-0.9710981,-6,1965
81,KEN,Kenya,-1.000646,-3,1965
82,MLI,Mali,-1.011792,-15,1965
83,CMR,Cameroon,-1.019128,6,1965
84,PNG,Papua New Guinea,-1.044056,7,1965
85,MDG,Madagascar,-1.044225,-6,1965
86,IDN,Indonesia,-1.083454,-1,1965
87,AGO,Angola,-1.085043,1,1965
88,ETH,Ethiopia,-1.110467,-8,1965
89,LKA,Sri Lanka,-1.112687,-13,1965
90,ZMB,Zambia,-1.155004,-27,1965
91,LAO,Lao PDR,-1.155455,-20,1965
92,MOZ,Mozambique,-1.176866,-5,1965
93,TZA,Tanzania,-1.289899,-1,1965
94,UGA,Uganda,-1.304549,2,1965
95,GAB,Gabon,-1.392676,2,1965
96,SDN,Sudan,-1.393126,-1,1965
97,NGA,Nigeria,-1.548983,-3,1965
98,MUS,Mauritius,-1.583467,0,1965
99,KWT,Kuwait,-1.871852,-6,1965
100,QAT,Qatar,-2.575514,-25,1965
101,LBY,Libya,-2.754472,-2,1965
1,SWE,Sweden,2.073687,1,1966
2,CHE,Switzerland,2.042921,-1,1966
3,JPN,Japan,2.032553,2,1966
4,GBR,United Kingdom,2.027595,0,1966
5,AUT,Austria,2.018466,-2,1966
6,FRA,France,1.851116,0,1966
7,USA,United States,1.838381,0,1966
8,ITA,Italy,1.830155,0,1966
9,BEL,Belgium,1.742929,0,1966
10,NOR,Norway,1.729181,0,1966
11,FIN,Finland,1.691653,1,1966
12,DNK,Denmark,1.468068,1,1966
13,HKG,Hong Kong,1.465589,1,1966
14,NLD,Netherlands,1.444741,-3,1966
15,HUN,Hungary,1.356614,0,1966
16,POL,Poland,1.268938,0,1966
17,IRL,Ireland,1.211576,1,1966
18,ZWE,Zimbabwe,1.211013,32,1966
19,PRT,Portugal,1.154779,1,1966
20,CAN,Canada,1.154666,3,1966
21,KOR,"Korea, Rep.",1.140804,-2,1966
22,PAN,Panama,1.11333,-5,1966
23,BGR,Bulgaria,1.08963,-1,1966
24,CRI,Costa Rica,0.9646748,1,1966
25,ISR,Israel,0.8802781,-4,1966
26,ESP,Spain,0.8779679,-2,1966
27,CHN,China,0.7848487,-1,1966
28,SLV,El Salvador,0.7004408,0,1966
29,ROU,Romania,0.6784429,-2,1966
30,JOR,Jordan,0.6504948,0,1966
31,AUS,Australia,0.5982272,2,1966
32,NZL,New Zealand,0.5543779,0,1966
33,GRC,Greece,0.5234208,1,1966
34,URY,Uruguay,0.5095707,-5,1966
35,SGP,Singapore,0.427597,-4,1966
36,MEX,Mexico,0.3990854,1,1966
37,GTM,Guatemala,0.3757915,-1,1966
38,LBN,Lebanon,0.308006,1,1966
39,EGY,Egypt,0.2973451,2,1966
40,ZMB,Zambia,0.2582402,50,1966
41,CHL,Chile,0.2335377,-6,1966
42,COL,Colombia,0.1850679,2,1966
43,IND,India,0.1134733,-5,1966
44,ALB,Albania,0.1004786,9,1966
45,ZAF,South Africa,0.0775002,6,1966
46,CUB,Cuba,0.0228909,-4,1966
47,NIC,Nicaragua,0.016083,1,1966
48,ARG,Argentina,0.014414,-5,1966
49,MAR,Morocco,0.0027417,-2,1966
50,TUN,Tunisia,-0.030161,-4,1966
51,HND,Honduras,-0.0333277,1,1966
52,OMN,Oman,-0.1444385,13,1966
53,VNM,Viet Nam,-0.1660082,7,1966
54,SYR,Syrian Arab Republic,-0.1933928,4,1966
55,DZA,Algeria,-0.2017322,-10,1966
56,TTO,Trinidad and Tobago,-0.2026788,-1,1966
57,PAK,Pakistan,-0.2182532,2,1966
58,PER,Peru,-0.3169507,3,1966
59,SEN,Senegal,-0.337585,-5,1966
60,JAM,Jamaica,-0.3694887,-4,1966
61,MRT,Mauritania,-0.3727794,-4,1966
62,PHL,Philippines,-0.3932897,1,1966
63,MNG,Mongolia,-0.4746887,-14,1966
64,TUR,Turkey,-0.5359943,0,1966
65,MYS,Malaysia,-0.6150492,8,1966
66,VEN,Venezuela,-0.6190274,-26,1966
67,DOM,Dominican Republic,-0.6226674,10,1966
68,BRA,Brazil,-0.6570504,0,1966
69,PRY,Paraguay,-0.6708328,-2,1966
70,MLI,Mali,-0.6758478,12,1966
71,BOL,Bolivia,-0.6795441,3,1966
72,ECU,Ecuador,-0.7328259,-10,1966
73,KEN,Kenya,-0.7367702,8,1966
74,MOZ,Mozambique,-0.7426416,18,1966
75,IRN,Iran,-0.8002733,-6,1966
76,LBR,Liberia,-0.8133234,-10,1966
77,ETH,Ethiopia,-0.8628411,11,1966
78,GHA,Ghana,-0.9146354,-7,1966
79,MDG,Madagascar,-0.9606371,6,1966
80,MWI,Malawi,-0.9880894,-5,1966
81,THA,Thailand,-0.9995391,-5,1966
82,CIV,Cote d'Ivoire,-1.022878,-10,1966
83,IDN,Indonesia,-1.033719,3,1966
84,MUS,Mauritius,-1.062918,14,1966
85,PNG,Papua New Guinea,-1.082989,-1,1966
86,LAO,Lao PDR,-1.087756,5,1966
87,SAU,Saudi Arabia,-1.09498,-8,1966
88,AGO,Angola,-1.097865,-1,1966
89,TZA,Tanzania,-1.165369,4,1966
90,GIN,Guinea,-1.197261,-20,1966
91,KHM,Cambodia,-1.226449,-11,1966
92,COG,Congo,-1.227914,-14,1966
93,CMR,Cameroon,-1.329,-10,1966
94,SDN,Sudan,-1.352328,2,1966
95,UGA,Uganda,-1.446991,-1,1966
96,LKA,Sri Lanka,-1.587859,-7,1966
97,NGA,Nigeria,-1.621329,0,1966
98,GAB,Gabon,-1.813134,-3,1966
99,KWT,Kuwait,-2.039988,0,1966
100,QAT,Qatar,-2.970165,0,1966
100,LBY,Libya,-2.970165,1,1966
1,CHE,Switzerland,2.203614,1,1967
2,SWE,Sweden,2.181526,-1,1967
3,AUT,Austria,2.150986,2,1967
4,JPN,Japan,2.145689,-1,1967
5,GBR,United Kingdom,2.133969,-1,1967
6,USA,United States,2.02567,1,1967
7,FRA,France,1.938671,-1,1967
8,ITA,Italy,1.914441,0,1967
9,FIN,Finland,1.779998,2,1967
10,BEL,Belgium,1.76546,-1,1967
11,NOR,Norway,1.719932,-1,1967
12,NLD,Netherlands,1.58808,2,1967
13,HKG,Hong Kong,1.498601,0,1967
14,DNK,Denmark,1.488459,-2,1967
15,HUN,Hungary,1.361678,0,1967
16,IRL,Ireland,1.298119,1,1967
17,CAN,Canada,1.200188,3,1967
18,POL,Poland,1.177762,-2,1967
19,ZWE,Zimbabwe,1.154434,-1,1967
20,PRT,Portugal,1.141024,-1,1967
21,KOR,"Korea, Rep.",1.039509,0,1967
22,PAN,Panama,0.9953554,0,1967
23,CRI,Costa Rica,0.9213156,1,1967
24,LBN,Lebanon,0.9193885,14,1967
25,SLV,El Salvador,0.9092348,3,1967
26,BGR,Bulgaria,0.8842844,-3,1967
27,ESP,Spain,0.7996626,-1,1967
28,CHN,China,0.794287,-1,1967
29,ROU,Romania,0.7653585,0,1967
30,ISR,Israel,0.7297698,-5,1967
31,SGP,Singapore,0.5162938,4,1967
32,GRC,Greece,0.5049343,1,1967
33,JOR,Jordan,0.4601723,-3,1967
34,AUS,Australia,0.4599356,-3,1967
35,NZL,New Zealand,0.402011,-3,1967
36,URY,Uruguay,0.3865719,-2,1967
37,GTM,Guatemala,0.3638641,0,1967
38,CHL,Chile,0.3060859,3,1967
39,ALB,Albania,0.2761545,5,1967
40,MEX,Mexico,0.2086058,-4,1967
41,NIC,Nicaragua,0.2082001,6,1967
42,EGY,Egypt,0.1280973,-3,1967
43,IND,India,0.1142134,0,1967
44,MNG,Mongolia,0.0669913,19,1967
45,ARG,Argentina,0.0268655,3,1967
46,HND,Honduras,-0.0380935,5,1967
47,COL,Colombia,-0.0639973,-5,1967
48,PAK,Pakistan,-0.079273,9,1967
49,TTO,Trinidad and Tobago,-0.1077135,7,1967
50,ZAF,South Africa,-0.1101793,-5,1967
51,TUN,Tunisia,-0.1280446,-1,1967
52,CUB,Cuba,-0.1536938,-6,1967
53,MAR,Morocco,-0.1874568,-4,1967
54,VEN,Venezuela,-0.2373013,12,1967
55,JAM,Jamaica,-0.3033399,5,1967
56,MYS,Malaysia,-0.3569484,9,1967
57,SYR,Syrian Arab Republic,-0.3741455,-3,1967
58,MWI,Malawi,-0.4360257,22,1967
59,MRT,Mauritania,-0.4605704,2,1967
60,BRA,Brazil,-0.4813737,8,1967
61,VNM,Viet Nam,-0.4916627,-8,1967
62,OMN,Oman,-0.4942772,-10,1967
63,PHL,Philippines,-0.4954379,-1,1967
64,SEN,Senegal,-0.5162637,-5,1967
65,DZA,Algeria,-0.5504889,-10,1967
66,TUR,Turkey,-0.6114787,-2,1967
67,PER,Peru,-0.6198406,-9,1967
68,KEN,Kenya,-0.6463801,5,1967
69,PRY,Paraguay,-0.6571536,0,1967
70,IRN,Iran,-0.697329,5,1967
71,BOL,Bolivia,-0.7423502,0,1967
72,MLI,Mali,-0.8004439,-2,1967
73,KHM,Cambodia,-0.8674403,18,1967
74,MUS,Mauritius,-0.8678686,10,1967
75,ZMB,Zambia,-0.8771321,-35,1967
76,DOM,Dominican Republic,-0.8781125,-9,1967
77,GHA,Ghana,-0.8874548,1,1967
78,LBR,Liberia,-0.8886043,-2,1967
79,GIN,Guinea,-0.8893932,11,1967
80,ECU,Ecuador,-0.9083257,-8,1967
81,COG,Congo,-0.9447258,11,1967
82,MDG,Madagascar,-0.9483884,-3,1967
83,MOZ,Mozambique,-0.951465,-9,1967
84,LAO,Lao PDR,-1.011418,2,1967
85,THA,Thailand,-1.012365,-4,1967
86,CIV,Cote d'Ivoire,-1.095071,-4,1967
87,IDN,Indonesia,-1.11673,-4,1967
88,ETH,Ethiopia,-1.154438,-11,1967
89,KWT,Kuwait,-1.210785,10,1967
90,TZA,Tanzania,-1.227914,-1,1967
91,AGO,Angola,-1.237944,-3,1967
92,CMR,Cameroon,-1.259243,1,1967
93,SAU,Saudi Arabia,-1.362809,-6,1967
94,PNG,Papua New Guinea,-1.388165,-9,1967
95,LKA,Sri Lanka,-1.414084,1,1967
96,UGA,Uganda,-1.496126,-1,1967
97,SDN,Sudan,-1.507733,-3,1967
98,NGA,Nigeria,-1.653221,-1,1967
99,GAB,Gabon,-1.704384,-1,1967
100,QAT,Qatar,-2.726405,0,1967
100,LBY,Libya,-2.726405,0,1967
1,JPN,Japan,2.156184,3,1968
2,CHE,Switzerland,2.108627,-1,1968
3,SWE,Sweden,2.100287,-1,1968
4,GBR,United Kingdom,2.090821,1,1968
5,AUT,Austria,2.086201,-2,1968
6,USA,United States,1.967083,0,1968
7,ITA,Italy,1.935077,1,1968
8,FRA,France,1.876476,-1,1968
9,FIN,Finland,1.828018,0,1968
10,NOR,Norway,1.769755,1,1968
11,BEL,Belgium,1.722761,-1,1968
12,DNK,Denmark,1.564313,2,1968
13,NLD,Netherlands,1.533998,-1,1968
14,HKG,Hong Kong,1.528814,-1,1968
15,ZWE,Zimbabwe,1.289789,4,1968
16,HUN,Hungary,1.281901,-1,1968
17,PAN,Panama,1.266123,5,1968
18,IRL,Ireland,1.234231,-2,1968
19,POL,Poland,1.203353,-1,1968
20,PRT,Portugal,1.173263,0,1968
21,CAN,Canada,1.160078,-4,1968
22,KOR,"Korea, Rep.",1.082217,-1,1968
23,ROU,Romania,0.9866974,6,1968
24,ESP,Spain,0.9820206,3,1968
25,LBN,Lebanon,0.9518073,-1,1968
26,JOR,Jordan,0.9089946,7,1968
27,ISR,Israel,0.8656411,3,1968
28,CHN,China,0.834436,0,1968
29,BGR,Bulgaria,0.7904176,-3,1968
30,SLV,El Salvador,0.743176,-5,1968
31,CRI,Costa Rica,0.6904801,-8,1968
32,SGP,Singapore,0.6278784,-1,1968
33,AUS,Australia,0.4160692,1,1968
34,NZL,New Zealand,0.3781137,1,1968
35,GRC,Greece,0.3452295,-3,1968
